Store Number,Store Name,Customer Segment,Address,County,Store Longitude,Store Latitude
4788,WALGREENS #12580 / CEDAR RAPIDS,Need Attention,324 EDGEWOOD RD NW,LINN,-91.71601,41.97501
4950,KUM & GO #514 / CEDAR RAPIDS,Big Spenders,1420 MT VERNON RD,LINN,-91.65129,41.97759
6236,WESTSIDE SPIRITS / CEDAR RAPIDS,Champions,3330 16TH AVE. SW,LINN,-91.71559,41.96359
4970,JEFF'S MARKET / WEST LIBERTY,Big Spenders,"200, E 3RD ST",MUSCATINE,-91.26158,41.56997
5736,218 FUEL EXPRESS,Champions,68 MONROE STREET,FLOYD,-92.73701,43.12253
3773,BENZ DISTRIBUTING,Champions,501 7TH AVE SE,LINN,-91.65989,41.97575
4492,CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,Champions,3625 EDGEWOOD RD SW,LINN,-91.71598,41.94232
4129,CYCLONE LIQUORS,Champions,626 LINCOLN WAY,STORY,-93.61905,42.02291
3696,WAL-MART 1723 / DES MOINES,Champions,5101 SE 14TH ST,POLK,-93.63541,41.53804
6316,BEER THIRTY CARROLL / CARROLL,Champions,430 EAST 6TH STREET,CARROLL,-94.8615,42.06419
3666,TARGET STORE T-1771 / CEDAR RAPIDS,Champions,3400 EDGEWOOD RD SW,LINN,-91.71602,41.94398
2665,HY-VEE / WAUKEE,Champions,1005 E HICKMAN RD,DALLAS,-93.85433,41.61507
5957,"LIQUOR, TOBACCO & GROCERY / DUBUQUE",Champions,1998 JACKSON ST,DUBUQUE,-90.66825,42.51147
